hour,load,wind,solar,cluster
19,162,1.4099999999999999,0,19
20,151,1.29,0,19
21,132,2.0600000000000001,0,19
22,112,3.52,0,19
23,99,4.79,8.1600000000000001,19
0,87.400000000000006,4.6299999999999999,9.6699999999999999,20
1,82.650000000000006,4.0999999999999996,18.120000000000001,20
2,78.849999999999994,3.29,23.800000000000001,20
3,76.950000000000003,6.6299999999999999,18.66,20
4,77.900000000000006,16.82,23.57,20
5,84.549999999999997,31.539999999999999,25.399999999999999,20
6,97.849999999999994,42.280000000000001,9.5299999999999994,20
7,115.90000000000001,29.890000000000001,7.2999999999999998,20
8,132.05000000000001,16.41,6.0300000000000002,20
9,137.75,27.18,0.46999999999999997,20
10,133.94999999999999,41.130000000000003,0,20
11,127.3,45.240000000000002,0,20
12,121.59999999999999,30.59,0,20
13,118.75,34.640000000000001,0,20
14,120.65000000000001,52.57,0,20
15,126.34999999999999,56.32,0,20
16,135.84999999999999,59.520000000000003,0,20
17,146.30000000000001,62.840000000000003,0,20
18,152,78.599999999999994,0,20
19,153.90000000000001,88.989999999999995,0,20
20,143.44999999999999,95.989999999999995,0,20
21,125.40000000000001,91.370000000000005,0,20
22,106.40000000000001,77.730000000000004,0,20
23,94.049999999999997,73.5,0.44,20
0,96.599999999999994,69.030000000000001,26.629999999999999,21
1,91.349999999999994,75.180000000000007,40.490000000000002,21
2,87.150000000000006,66.469999999999999,51.25,21
3,85.049999999999997,44.640000000000001,37.369999999999997,21
4,86.099999999999994,19.719999999999999,29.989999999999998,21
5,93.450000000000003,5.3700000000000001,12.02,21
6,108.15000000000001,0,19.629999999999999,21
7,128.09999999999999,0.17999999999999999,5.9800000000000004,21
8,145.94999999999999,10.300000000000001,5.0300000000000002,21
9,152.25,28.399999999999999,2.6699999999999999,21
10,148.05000000000001,41.409999999999997,0.37,21
11,140.69999999999999,47.710000000000001,0,21
12,134.40000000000001,64.349999999999994,0,21
13,131.25,82.569999999999993,0,21
14,133.34999999999999,79.030000000000001,0,21
15,139.65000000000001,80.349999999999994,0,21
16,150.15000000000001,86.659999999999997,0,21
17,161.69999999999999,69.230000000000004,0,21
18,168,55.280000000000001,0,21
19,170.09999999999999,52.399999999999999,0,21
20,158.55000000000001,53.07,0,21
21,138.59999999999999,52.57,0,21
22,117.59999999999999,51.409999999999997,0.28999999999999998,21
